case_id	category	monomer_length_bp	k	n_copies	divergence	mutation_rate	indel_rate	at_copy	event_type	gc_content	insertion_kind	insertion_length_bp	length_copies	second_k	second_monomer_bp	shift_offset_bp	slot	source_slots	start_copy	wobble_amplitude	wobble_period_rows
st_L0100_n2000_m05_i01	simple_tr	100	1	2000	0.0	0.05	0.01														
st_L0100_n2000_m10_i00	simple_tr	100	1	2000	0.0	0.1	0.0														
st_L0100_n2000_m10_i01	simple_tr	100	1	2000	0.0	0.1	0.01														
st_L0170_n0200_m00_i00	simple_tr	170	1	200	0.0	0.0	0.0														
st_L0170_n0200_m00_i01	simple_tr	170	1	200	0.0	0.0	0.01														
st_L0170_n0200_m01_i00	simple_tr	170	1	200	0.0	0.01	0.0														
st_L0170_n0200_m01_i01	simple_tr	170	1	200	0.0	0.01	0.01														
st_L0170_n0200_m02_i00	simple_tr	170	1	200	0.0	0.02	0.0														
st_L0170_n0200_m02_i01	simple_tr	170	1	200	0.0	0.02	0.01														
st_L0170_n0200_m05_i00	simple_tr	170	1	200	0.0	0.05	0.0														
st_L0170_n0200_m05_i01	simple_tr	170	1	200	0.0	0.05	0.01														
st_L0170_n0200_m10_i00	simple_tr	170	1	200	0.0	0.1	0.0														
st_L0170_n0200_m10_i01	simple_tr	170	1	200	0.0	0.1	0.01														
st_L0170_n0500_m00_i00	simple_tr	170	1	500	0.0	0.0	0.0														
st_L0170_n0500_m00_i01	simple_tr	170	1	500	0.0	0.0	0.01														
st_L0170_n0500_m01_i00	simple_tr	170	1	500	0.0	0.01	0.0														
st_L0170_n0500_m01_i01	simple_tr	170	1	500	0.0	0.01	0.01														
st_L0170_n0500_m02_i00	simple_tr	170	1	500	0.0	0.02	0.0														
st_L0170_n0500_m02_i01	simple_tr	170	1	500	0.0	0.02	0.01														
st_L0170_n0500_m05_i00	simple_tr	170	1	500	0.0	0.05	0.0														
st_L0170_n0500_m05_i01	simple_tr	170	1	500	0.0	0.05	0.01														
st_L0170_n0500_m10_i00	simple_tr	170	1	500	0.0	0.1	0.0														
st_L0170_n0500_m10_i01	simple_tr	170	1	500	0.0	0.1	0.01														
st_L0170_n1000_m00_i00	simple_tr	170	1	1000	0.0	0.0	0.0														
st_L0170_n1000_m00_i01	simple_tr	170	1	1000	0.0	0.0	0.01														
st_L0170_n1000_m01_i00	simple_tr	170	1	1000	0.0	0.01	0.0														
st_L0170_n1000_m01_i01	simple_tr	170	1	1000	0.0	0.01	0.01														
st_L0170_n1000_m02_i00	simple_tr	170	1	1000	0.0	0.02	0.0														
st_L0170_n1000_m02_i01	simple_tr	170	1	1000	0.0	0.02	0.01														
st_L0170_n1000_m05_i00	simple_tr	170	1	1000	0.0	0.05	0.0														
st_L0170_n1000_m05_i01	simple_tr	170	1	1000	0.0	0.05	0.01														
st_L0170_n1000_m10_i00	simple_tr	170	1	1000	0.0	0.1	0.0														
st_L0170_n1000_m10_i01	simple_tr	170	1	1000	0.0	0.1	0.01														
st_L0170_n2000_m00_i00	simple_tr	170	1	2000	0.0	0.0	0.0														
st_L0170_n2000_m00_i01	simple_tr	170	1	2000	0.0	0.0	0.01														
st_L0170_n2000_m01_i00	simple_tr	170	1	2000	0.0	0.01	0.0														
st_L0170_n2000_m01_i01	simple_tr	170	1	2000	0.0	0.01	0.01														
st_L0170_n2000_m02_i00	simple_tr	170	1	2000	0.0	0.02	0.0														
st_L0170_n2000_m02_i01	simple_tr	170	1	2000	0.0	0.02	0.01														
st_L0170_n2000_m05_i00	simple_tr	170	1	2000	0.0	0.05	0.0														
st_L0170_n2000_m05_i01	simple_tr	170	1	2000	0.0	0.05	0.01														
st_L0170_n2000_m10_i00	simple_tr	170	1	2000	0.0	0.1	0.0														
st_L0170_n2000_m10_i01	simple_tr	170	1	2000	0.0	0.1	0.01														
st_L0250_n0200_m00_i00	simple_tr	250	1	200	0.0	0.0	0.0														
st_L0250_n0200_m00_i01	simple_tr	250	1	200	0.0	0.0	0.01														
st_L0250_n0200_m01_i00	simple_tr	250	1	200	0.0	0.01	0.0														
st_L0250_n0200_m01_i01	simple_tr	250	1	200	0.0	0.01	0.01														
st_L0250_n0200_m02_i00	simple_tr	250	1	200	0.0	0.02	0.0														
st_L0250_n0200_m02_i01	simple_tr	250	1	200	0.0	0.02	0.01														
st_L0250_n0200_m05_i00	simple_tr	250	1	200	0.0	0.05	0.0														
st_L0250_n0200_m05_i01	simple_tr	250	1	200	0.0	0.05	0.01														
st_L0250_n0200_m10_i00	simple_tr	250	1	200	0.0	0.1	0.0														
st_L0250_n0200_m10_i01	simple_tr	250	1	200	0.0	0.1	0.01														
st_L0250_n0500_m00_i00	simple_tr	250	1	500	0.0	0.0	0.0														
st_L0250_n0500_m00_i01	simple_tr	250	1	500	0.0	0.0	0.01														
st_L0250_n0500_m01_i00	simple_tr	250	1	500	0.0	0.01	0.0														
st_L0250_n0500_m01_i01	simple_tr	250	1	500	0.0	0.01	0.01														
st_L0250_n0500_m02_i00	simple_tr	250	1	500	0.0	0.02	0.0														
st_L0250_n0500_m02_i01	simple_tr	250	1	500	0.0	0.02	0.01														
st_L0250_n0500_m05_i00	simple_tr	250	1	500	0.0	0.05	0.0														
st_L0250_n0500_m05_i01	simple_tr	250	1	500	0.0	0.05	0.01														
st_L0250_n0500_m10_i00	simple_tr	250	1	500	0.0	0.1	0.0														
st_L0250_n0500_m10_i01	simple_tr	250	1	500	0.0	0.1	0.01														
st_L0250_n1000_m00_i00	simple_tr	250	1	1000	0.0	0.0	0.0														
st_L0250_n1000_m00_i01	simple_tr	250	1	1000	0.0	0.0	0.01														
st_L0250_n1000_m01_i00	simple_tr	250	1	1000	0.0	0.01	0.0														
st_L0250_n1000_m01_i01	simple_tr	250	1	1000	0.0	0.01	0.01														
st_L0250_n1000_m02_i00	simple_tr	250	1	1000	0.0	0.02	0.0														
st_L0250_n1000_m02_i01	simple_tr	250	1	1000	0.0	0.02	0.01														
st_L0250_n1000_m05_i00	simple_tr	250	1	1000	0.0	0.05	0.0														
st_L0250_n1000_m05_i01	simple_tr	250	1	1000	0.0	0.05	0.01														
st_L0250_n1000_m10_i00	simple_tr	250	1	1000	0.0	0.1	0.0														
st_L0250_n1000_m10_i01	simple_tr	250	1	1000	0.0	0.1	0.01														
st_L0250_n2000_m00_i00	simple_tr	250	1	2000	0.0	0.0	0.0														
st_L0250_n2000_m00_i01	simple_tr	250	1	2000	0.0	0.0	0.01														
st_L0250_n2000_m01_i00	simple_tr	250	1	2000	0.0	0.01	0.0														
st_L0250_n2000_m01_i01	simple_tr	250	1	2000	0.0	0.01	0.01														
st_L0250_n2000_m02_i00	simple_tr	250	1	2000	0.0	0.02	0.0														
st_L0250_n2000_m02_i01	simple_tr	250	1	2000	0.0	0.02	0.01														
st_L0250_n2000_m05_i00	simple_tr	250	1	2000	0.0	0.05	0.0														
st_L0250_n2000_m05_i01	simple_tr	250	1	2000	0.0	0.05	0.01														
st_L0250_n2000_m10_i00	simple_tr	250	1	2000	0.0	0.1	0.0														
st_L0250_n2000_m10_i01	simple_tr	250	1	2000	0.0	0.1	0.01														
st_L0500_n0200_m00_i00	simple_tr	500	1	200	0.0	0.0	0.0														
st_L0500_n0200_m00_i01	simple_tr	500	1	200	0.0	0.0	0.01														
st_L0500_n0200_m01_i00	simple_tr	500	1	200	0.0	0.01	0.0														
st_L0500_n0200_m01_i01	simple_tr	500	1	200	0.0	0.01	0.01														
st_L0500_n0200_m02_i00	simple_tr	500	1	200	0.0	0.02	0.0														
st_L0500_n0200_m02_i01	simple_tr	500	1	200	0.0	0.02	0.01														
st_L0500_n0200_m05_i00	simple_tr	500	1	200	0.0	0.05	0.0														
st_L0500_n0200_m05_i01	simple_tr	500	1	200	0.0	0.05	0.01														
st_L0500_n0200_m10_i00	simple_tr	500	1	200	0.0	0.1	0.0														
st_L0500_n0200_m10_i01	simple_tr	500	1	200	0.0	0.1	0.01														
st_L0500_n0500_m00_i00	simple_tr	500	1	500	0.0	0.0	0.0														
st_L0500_n0500_m00_i01	simple_tr	500	1	500	0.0	0.0	0.01														
st_L0500_n0500_m01_i00	simple_tr	500	1	500	0.0	0.01	0.0														
st_L0500_n0500_m01_i01	simple_tr	500	1	500	0.0	0.01	0.01														
st_L0500_n0500_m02_i00	simple_tr	500	1	500	0.0	0.02	0.0														
st_L0500_n0500_m02_i01	simple_tr	500	1	500	0.0	0.02	0.01														
st_L0500_n0500_m05_i00	simple_tr	500	1	500	0.0	0.05	0.0														
st_L0500_n0500_m05_i01	simple_tr	500	1	500	0.0	0.05	0.01														
st_L0500_n0500_m10_i00	simple_tr	500	1	500	0.0	0.1	0.0														
st_L0500_n0500_m10_i01	simple_tr	500	1	500	0.0	0.1	0.01														
st_L0500_n1000_m00_i00	simple_tr	500	1	1000	0.0	0.0	0.0														
st_L0500_n1000_m00_i01	simple_tr	500	1	1000	0.0	0.0	0.01														
st_L0500_n1000_m01_i00	simple_tr	500	1	1000	0.0	0.01	0.0														
st_L0500_n1000_m01_i01	simple_tr	500	1	1000	0.0	0.01	0.01														
st_L0500_n1000_m02_i00	simple_tr	500	1	1000	0.0	0.02	0.0														
st_L0500_n1000_m02_i01	simple_tr	500	1	1000	0.0	0.02	0.01														
st_L0500_n1000_m05_i00	simple_tr	500	1	1000	0.0	0.05	0.0														
st_L0500_n1000_m05_i01	simple_tr	500	1	1000	0.0	0.05	0.01														
st_L0500_n1000_m10_i00	simple_tr	500	1	1000	0.0	0.1	0.0														
st_L0500_n1000_m10_i01	simple_tr	500	1	1000	0.0	0.1	0.01														
st_L0500_n2000_m00_i00	simple_tr	500	1	2000	0.0	0.0	0.0														
st_L0500_n2000_m00_i01	simple_tr	500	1	2000	0.0	0.0	0.01														
st_L0500_n2000_m01_i00	simple_tr	500	1	2000	0.0	0.01	0.0														
st_L0500_n2000_m01_i01	simple_tr	500	1	2000	0.0	0.01	0.01														
st_L0500_n2000_m02_i00	simple_tr	500	1	2000	0.0	0.02	0.0														
st_L0500_n2000_m02_i01	simple_tr	500	1	2000	0.0	0.02	0.01														
st_L0500_n2000_m05_i00	simple_tr	500	1	2000	0.0	0.05	0.0														
st_L0500_n2000_m05_i01	simple_tr	500	1	2000	0.0	0.05	0.01														
st_L0500_n2000_m10_i00	simple_tr	500	1	2000	0.0	0.1	0.0														
st_L0500_n2000_m10_i01	simple_tr	500	1	2000	0.0	0.1	0.01														
st_L1000_n0200_m00_i00	simple_tr	1000	1	200	0.0	0.0	0.0														
st_L1000_n0200_m00_i01	simple_tr	1000	1	200	0.0	0.0	0.01														
st_L1000_n0200_m01_i00	simple_tr	1000	1	200	0.0	0.01	0.0														
st_L1000_n0200_m01_i01	simple_tr	1000	1	200	0.0	0.01	0.01														
st_L1000_n0200_m02_i00	simple_tr	1000	1	200	0.0	0.02	0.0														
st_L1000_n0200_m02_i01	simple_tr	1000	1	200	0.0	0.02	0.01														
st_L1000_n0200_m05_i00	simple_tr	1000	1	200	0.0	0.05	0.0														
st_L1000_n0200_m05_i01	simple_tr	1000	1	200	0.0	0.05	0.01														
st_L1000_n0200_m10_i00	simple_tr	1000	1	200	0.0	0.1	0.0														
st_L1000_n0200_m10_i01	simple_tr	1000	1	200	0.0	0.1	0.01														
st_L1000_n0500_m00_i00	simple_tr	1000	1	500	0.0	0.0	0.0														
st_L1000_n0500_m00_i01	simple_tr	1000	1	500	0.0	0.0	0.01														
st_L1000_n0500_m01_i00	simple_tr	1000	1	500	0.0	0.01	0.0														
st_L1000_n0500_m01_i01	simple_tr	1000	1	500	0.0	0.01	0.01														
st_L1000_n0500_m02_i00	simple_tr	1000	1	500	0.0	0.02	0.0														
st_L1000_n0500_m02_i01	simple_tr	1000	1	500	0.0	0.02	0.01														
st_L1000_n0500_m05_i00	simple_tr	1000	1	500	0.0	0.05	0.0														
st_L1000_n0500_m05_i01	simple_tr	1000	1	500	0.0	0.05	0.01														
st_L1000_n0500_m10_i00	simple_tr	1000	1	500	0.0	0.1	0.0														
st_L1000_n0500_m10_i01	simple_tr	1000	1	500	0.0	0.1	0.01														
st_L1000_n1000_m00_i00	simple_tr	1000	1	1000	0.0	0.0	0.0														
st_L1000_n1000_m00_i01	simple_tr	1000	1	1000	0.0	0.0	0.01														
st_L1000_n1000_m01_i00	simple_tr	1000	1	1000	0.0	0.01	0.0														
st_L1000_n1000_m01_i01	simple_tr	1000	1	1000	0.0	0.01	0.01														
st_L1000_n1000_m02_i00	simple_tr	1000	1	1000	0.0	0.02	0.0														
st_L1000_n1000_m02_i01	simple_tr	1000	1	1000	0.0	0.02	0.01														
st_L1000_n1000_m05_i00	simple_tr	1000	1	1000	0.0	0.05	0.0														
st_L1000_n1000_m05_i01	simple_tr	1000	1	1000	0.0	0.05	0.01														
st_L1000_n1000_m10_i00	simple_tr	1000	1	1000	0.0	0.1	0.0														
st_L1000_n1000_m10_i01	simple_tr	1000	1	1000	0.0	0.1	0.01														
st_L1000_n2000_m00_i00	simple_tr	1000	1	2000	0.0	0.0	0.0														
st_L1000_n2000_m00_i01	simple_tr	1000	1	2000	0.0	0.0	0.01														
st_L1000_n2000_m01_i00	simple_tr	1000	1	2000	0.0	0.01	0.0														
st_L1000_n2000_m01_i01	simple_tr	1000	1	2000	0.0	0.01	0.01														
st_L1000_n2000_m02_i00	simple_tr	1000	1	2000	0.0	0.02	0.0														
st_L1000_n2000_m02_i01	simple_tr	1000	1	2000	0.0	0.02	0.01														
st_L1000_n2000_m05_i00	simple_tr	1000	1	2000	0.0	0.05	0.0														
st_L1000_n2000_m05_i01	simple_tr	1000	1	2000	0.0	0.05	0.01														
st_L1000_n2000_m10_i00	simple_tr	1000	1	2000	0.0	0.1	0.0														
st_L1000_n2000_m10_i01	simple_tr	1000	1	2000	0.0	0.1	0.01														
hc_L0100_k03_n0050_d05_m01	hor_clean	100	3	50	0.05	0.01	0.0														
hc_L0100_k03_n0050_d05_m02	hor_clean	100	3	50	0.05	0.02	0.0														
hc_L0100_k03_n0050_d10_m01	hor_clean	100	3	50	0.1	0.01	0.0														
hc_L0100_k03_n0050_d10_m02	hor_clean	100	3	50	0.1	0.02	0.0														
hc_L0100_k03_n0050_d15_m01	hor_clean	100	3	50	0.15	0.01	0.0														
hc_L0100_k03_n0050_d15_m02	hor_clean	100	3	50	0.15	0.02	0.0														
hc_L0100_k03_n0050_d25_m01	hor_clean	100	3	50	0.25	0.01	0.0														
hc_L0100_k03_n0050_d25_m02	hor_clean	100	3	50	0.25	0.02	0.0														
hc_L0100_k03_n0050_d40_m01	hor_clean	100	3	50	0.4	0.01	0.0														
hc_L0100_k03_n0050_d40_m02	hor_clean	100	3	50	0.4	0.02	0.0														
hc_L0100_k03_n0100_d05_m01	hor_clean	100	3	100	0.05	0.01	0.0														
hc_L0100_k03_n0100_d05_m02	hor_clean	100	3	100	0.05	0.02	0.0														
hc_L0100_k03_n0100_d10_m01	hor_clean	100	3	100	0.1	0.01	0.0														
hc_L0100_k03_n0100_d10_m02	hor_clean	100	3	100	0.1	0.02	0.0														
hc_L0100_k03_n0100_d15_m01	hor_clean	100	3	100	0.15	0.01	0.0														
hc_L0100_k03_n0100_d15_m02	hor_clean	100	3	100	0.15	0.02	0.0														
hc_L0100_k03_n0100_d25_m01	hor_clean	100	3	100	0.25	0.01	0.0														
hc_L0100_k03_n0100_d25_m02	hor_clean	100	3	100	0.25	0.02	0.0														
hc_L0100_k03_n0100_d40_m01	hor_clean	100	3	100	0.4	0.01	0.0														
hc_L0100_k03_n0100_d40_m02	hor_clean	100	3	100	0.4	0.02	0.0														
hc_L0100_k03_n0200_d05_m01	hor_clean	100	3	200	0.05	0.01	0.0														
hc_L0100_k03_n0200_d05_m02	hor_clean	100	3	200	0.05	0.02	0.0														
hc_L0100_k03_n0200_d10_m01	hor_clean	100	3	200	0.1	0.01	0.0														
hc_L0100_k03_n0200_d10_m02	hor_clean	100	3	200	0.1	0.02	0.0														
hc_L0100_k03_n0200_d15_m01	hor_clean	100	3	200	0.15	0.01	0.0														
hc_L0100_k03_n0200_d15_m02	hor_clean	100	3	200	0.15	0.02	0.0														
hc_L0100_k03_n0200_d25_m01	hor_clean	100	3	200	0.25	0.01	0.0														
hc_L0100_k03_n0200_d25_m02	hor_clean	100	3	200	0.25	0.02	0.0														
hc_L0100_k03_n0200_d40_m01	hor_clean	100	3	200	0.4	0.01	0.0														
hc_L0100_k03_n0200_d40_m02	hor_clean	100	3	200	0.4	0.02	0.0														
hc_L0100_k03_n0500_d05_m01	hor_clean	100	3	500	0.05	0.01	0.0														
hc_L0100_k03_n0500_d05_m02	hor_clean	100	3	500	0.05	0.02	0.0														
hc_L0100_k03_n0500_d10_m01	hor_clean	100	3	500	0.1	0.01	0.0														
hc_L0100_k03_n0500_d10_m02	hor_clean	100	3	500	0.1	0.02	0.0														
hc_L0100_k03_n0500_d15_m01	hor_clean	100	3	500	0.15	0.01	0.0														
hc_L0100_k03_n0500_d15_m02	hor_clean	100	3	500	0.15	0.02	0.0														
hc_L0100_k03_n0500_d25_m01	hor_clean	100	3	500	0.25	0.01	0.0														
hc_L0100_k03_n0500_d25_m02	hor_clean	100	3	500	0.25	0.02	0.0														
hc_L0100_k03_n0500_d40_m01	hor_clean	100	3	500	0.4	0.01	0.0														
hc_L0100_k03_n0500_d40_m02	hor_clean	100	3	500	0.4	0.02	0.0														
hc_L0100_k06_n0050_d05_m01	hor_clean	100	6	50	0.05	0.01	0.0														
hc_L0100_k06_n0050_d05_m02	hor_clean	100	6	50	0.05	0.02	0.0														
hc_L0100_k06_n0050_d10_m01	hor_clean	100	6	50	0.1	0.01	0.0														
hc_L0100_k06_n0050_d10_m02	hor_clean	100	6	50	0.1	0.02	0.0														
hc_L0100_k06_n0050_d15_m01	hor_clean	100	6	50	0.15	0.01	0.0														
hc_L0100_k06_n0050_d15_m02	hor_clean	100	6	50	0.15	0.02	0.0														
hc_L0100_k06_n0050_d25_m01	hor_clean	100	6	50	0.25	0.01	0.0														
hc_L0100_k06_n0050_d25_m02	hor_clean	100	6	50	0.25	0.02	0.0														
hc_L0100_k06_n0050_d40_m01	hor_clean	100	6	50	0.4	0.01	0.0														
hc_L0100_k06_n0050_d40_m02	hor_clean	100	6	50	0.4	0.02	0.0														
hc_L0100_k06_n0100_d05_m01	hor_clean	100	6	100	0.05	0.01	0.0														
hc_L0100_k06_n0100_d05_m02	hor_clean	100	6	100	0.05	0.02	0.0														
hc_L0100_k06_n0100_d10_m01	hor_clean	100	6	100	0.1	0.01	0.0														
hc_L0100_k06_n0100_d10_m02	hor_clean	100	6	100	0.1	0.02	0.0														
hc_L0100_k06_n0100_d15_m01	hor_clean	100	6	100	0.15	0.01	0.0														
hc_L0100_k06_n0100_d15_m02	hor_clean	100	6	100	0.15	0.02	0.0														
hc_L0100_k06_n0100_d25_m01	hor_clean	100	6	100	0.25	0.01	0.0														
hc_L0100_k06_n0100_d25_m02	hor_clean	100	6	100	0.25	0.02	0.0														
hc_L0100_k06_n0100_d40_m01	hor_clean	100	6	100	0.4	0.01	0.0														
hc_L0100_k06_n0100_d40_m02	hor_clean	100	6	100	0.4	0.02	0.0														
hc_L0100_k06_n0200_d05_m01	hor_clean	100	6	200	0.05	0.01	0.0														
hc_L0100_k06_n0200_d05_m02	hor_clean	100	6	200	0.05	0.02	0.0														
hc_L0100_k06_n0200_d10_m01	hor_clean	100	6	200	0.1	0.01	0.0														
hc_L0100_k06_n0200_d10_m02	hor_clean	100	6	200	0.1	0.02	0.0														
hc_L0100_k06_n0200_d15_m01	hor_clean	100	6	200	0.15	0.01	0.0														
hc_L0100_k06_n0200_d15_m02	hor_clean	100	6	200	0.15	0.02	0.0														
hc_L0100_k06_n0200_d25_m01	hor_clean	100	6	200	0.25	0.01	0.0														
hc_L0100_k06_n0200_d25_m02	hor_clean	100	6	200	0.25	0.02	0.0														
hc_L0100_k06_n0200_d40_m01	hor_clean	100	6	200	0.4	0.01	0.0														
hc_L0100_k06_n0200_d40_m02	hor_clean	100	6	200	0.4	0.02	0.0														
hc_L0100_k06_n0500_d05_m01	hor_clean	100	6	500	0.05	0.01	0.0														
hc_L0100_k06_n0500_d05_m02	hor_clean	100	6	500	0.05	0.02	0.0														
hc_L0100_k06_n0500_d10_m01	hor_clean	100	6	500	0.1	0.01	0.0														
hc_L0100_k06_n0500_d10_m02	hor_clean	100	6	500	0.1	0.02	0.0														
hc_L0100_k06_n0500_d15_m01	hor_clean	100	6	500	0.15	0.01	0.0														
hc_L0100_k06_n0500_d15_m02	hor_clean	100	6	500	0.15	0.02	0.0														
hc_L0100_k06_n0500_d25_m01	hor_clean	100	6	500	0.25	0.01	0.0														
hc_L0100_k06_n0500_d25_m02	hor_clean	100	6	500	0.25	0.02	0.0														
hc_L0100_k06_n0500_d40_m01	hor_clean	100	6	500	0.4	0.01	0.0														
hc_L0100_k06_n0500_d40_m02	hor_clean	100	6	500	0.4	0.02	0.0														
hc_L0100_k08_n0050_d05_m01	hor_clean	100	8	50	0.05	0.01	0.0														
hc_L0100_k08_n0050_d05_m02	hor_clean	100	8	50	0.05	0.02	0.0														
hc_L0100_k08_n0050_d10_m01	hor_clean	100	8	50	0.1	0.01	0.0														
hc_L0100_k08_n0050_d10_m02	hor_clean	100	8	50	0.1	0.02	0.0														
hc_L0100_k08_n0050_d15_m01	hor_clean	100	8	50	0.15	0.01	0.0														
hc_L0100_k08_n0050_d15_m02	hor_clean	100	8	50	0.15	0.02	0.0														
hc_L0100_k08_n0050_d25_m01	hor_clean	100	8	50	0.25	0.01	0.0														
hc_L0100_k08_n0050_d25_m02	hor_clean	100	8	50	0.25	0.02	0.0														
hc_L0100_k08_n0050_d40_m01	hor_clean	100	8	50	0.4	0.01	0.0														
hc_L0100_k08_n0050_d40_m02	hor_clean	100	8	50	0.4	0.02	0.0														
hc_L0100_k08_n0100_d05_m01	hor_clean	100	8	100	0.05	0.01	0.0														
hc_L0100_k08_n0100_d05_m02	hor_clean	100	8	100	0.05	0.02	0.0														
hc_L0100_k08_n0100_d10_m01	hor_clean	100	8	100	0.1	0.01	0.0														
hc_L0100_k08_n0100_d10_m02	hor_clean	100	8	100	0.1	0.02	0.0														
hc_L0100_k08_n0100_d15_m01	hor_clean	100	8	100	0.15	0.01	0.0														
hc_L0100_k08_n0100_d15_m02	hor_clean	100	8	100	0.15	0.02	0.0														
hc_L0100_k08_n0100_d25_m01	hor_clean	100	8	100	0.25	0.01	0.0														
hc_L0100_k08_n0100_d25_m02	hor_clean	100	8	100	0.25	0.02	0.0														
hc_L0100_k08_n0100_d40_m01	hor_clean	100	8	100	0.4	0.01	0.0														
hc_L0100_k08_n0100_d40_m02	hor_clean	100	8	100	0.4	0.02	0.0														
hc_L0100_k08_n0200_d05_m01	hor_clean	100	8	200	0.05	0.01	0.0														
hc_L0100_k08_n0200_d05_m02	hor_clean	100	8	200	0.05	0.02	0.0														
hc_L0100_k08_n0200_d10_m01	hor_clean	100	8	200	0.1	0.01	0.0														
hc_L0100_k08_n0200_d10_m02	hor_clean	100	8	200	0.1	0.02	0.0														
hc_L0100_k08_n0200_d15_m01	hor_clean	100	8	200	0.15	0.01	0.0														
hc_L0100_k08_n0200_d15_m02	hor_clean	100	8	200	0.15	0.02	0.0														
hc_L0100_k08_n0200_d25_m01	hor_clean	100	8	200	0.25	0.01	0.0														
hc_L0100_k08_n0200_d25_m02	hor_clean	100	8	200	0.25	0.02	0.0														
hc_L0100_k08_n0200_d40_m01	hor_clean	100	8	200	0.4	0.01	0.0														
hc_L0100_k08_n0200_d40_m02	hor_clean	100	8	200	0.4	0.02	0.0														
hc_L0100_k08_n0500_d05_m01	hor_clean	100	8	500	0.05	0.01	0.0														
hc_L0100_k08_n0500_d05_m02	hor_clean	100	8	500	0.05	0.02	0.0														
hc_L0100_k08_n0500_d10_m01	hor_clean	100	8	500	0.1	0.01	0.0														
hc_L0100_k08_n0500_d10_m02	hor_clean	100	8	500	0.1	0.02	0.0														
hc_L0100_k08_n0500_d15_m01	hor_clean	100	8	500	0.15	0.01	0.0														
hc_L0100_k08_n0500_d15_m02	hor_clean	100	8	500	0.15	0.02	0.0														
hc_L0100_k08_n0500_d25_m01	hor_clean	100	8	500	0.25	0.01	0.0														
hc_L0100_k08_n0500_d25_m02	hor_clean	100	8	500	0.25	0.02	0.0														
hc_L0100_k08_n0500_d40_m01	hor_clean	100	8	500	0.4	0.01	0.0														
hc_L0100_k08_n0500_d40_m02	hor_clean	100	8	500	0.4	0.02	0.0														
